rank,puzzle_id,gold_rate,median_score,hexalink_rate,math,familiarity_source,source_version,normalization_version,fallback_used
1,ABDICATING,0.20066666666666666,87.33333333333333,0.24533333333333332,"{""puzzle_id"":""ABDICATING"",""raw_legal_moves"":13181,""unique_playable_words"":8017,""unique_skeletons"":3119,""unique_tile_masks"":2839,""solver_relevant_moves"":2839,""hexalink_move_count"":2,""hexalink_participation_pct"":0.00015173355587588195,""hexalink_rows_touched"":3,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":3,""enumeration_ms"":137.241179}",wordfreq,v3.2,zipf-linear-v1,false
2,AFFORDABLE,0.18000000000000002,86.33333333333333,0.2806666666666667,"{""puzzle_id"":""AFFORDABLE"",""raw_legal_moves"":11174,""unique_playable_words"":6686,""unique_skeletons"":2477,""unique_tile_masks"":2423,""solver_relevant_moves"":2423,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00008949346697691069,""hexalink_rows_touched"":4,""hexalink_columns_touched"":2,""hexalink_diagonal_steps"":1,""enumeration_ms"":119.746826}",wordfreq,v3.2,zipf-linear-v1,false
3,ABANDONING,0.1386666666666667,84.33333333333333,0.24933333333333332,"{""puzzle_id"":""ABANDONING"",""raw_legal_moves"":10327,""unique_playable_words"":6296,""unique_skeletons"":2309,""unique_tile_masks"":2187,""solver_relevant_moves"":2187,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00009683354313934346,""hexalink_rows_touched"":4,""hexalink_columns_touched"":2,""hexalink_diagonal_steps"":2,""enumeration_ms"":116.290483}",wordfreq,v3.2,zipf-linear-v1,false
4,ACCIDENTAL,0.13466666666666668,84,0.2753333333333334,"{""puzzle_id"":""ACCIDENTAL"",""raw_legal_moves"":10744,""unique_playable_words"":6341,""unique_skeletons"":2267,""unique_tile_masks"":2134,""solver_relevant_moves"":2134,""hexalink_move_count"":2,""hexalink_participation_pct"":0.00018615040953090097,""hexalink_rows_touched"":3,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":1,""enumeration_ms"":96.661162}",wordfreq,v3.2,zipf-linear-v1,false
5,ADIRONDACK,0.12733333333333333,82.33333333333333,0.276,"{""puzzle_id"":""ADIRONDACK"",""raw_legal_moves"":9782,""unique_playable_words"":6933,""unique_skeletons"":2651,""unique_tile_masks"":2120,""solver_relevant_moves"":2120,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00010222858311183807,""hexalink_rows_touched"":3,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":3,""enumeration_ms"":93.637285}",wordfreq,v3.2,zipf-linear-v1,false
6,ABOLISHING,0.126,84,0.268,"{""puzzle_id"":""ABOLISHING"",""raw_legal_moves"":9846,""unique_playable_words"":6326,""unique_skeletons"":2337,""unique_tile_masks"":2121,""solver_relevant_moves"":2121,""hexalink_move_count"":2,""hexalink_participation_pct"":0.00020312817387771684,""hexalink_rows_touched"":4,""hexalink_columns_touched"":2,""hexalink_diagonal_steps"":0,""enumeration_ms"":96.920113}",wordfreq,v3.2,zipf-linear-v1,false
7,ACCEPTABLE,0.126,83.66666666666667,0.22399999999999998,"{""puzzle_id"":""ACCEPTABLE"",""raw_legal_moves"":11593,""unique_playable_words"":6398,""unique_skeletons"":2276,""unique_tile_masks"":2345,""solver_relevant_moves"":2345,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00008625894936599672,""hexalink_rows_touched"":4,""hexalink_columns_touched"":4,""hexalink_diagonal_steps"":3,""enumeration_ms"":104.340746}",wordfreq,v3.2,zipf-linear-v1,false
8,ACCUSTOMED,0.124,84.33333333333333,0.27,"{""puzzle_id"":""ACCUSTOMED"",""raw_legal_moves"":9084,""unique_playable_words"":5332,""unique_skeletons"":1930,""unique_tile_masks"":1825,""solver_relevant_moves"":1825,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00011008366358432408,""hexalink_rows_touched"":2,""hexalink_columns_touched"":4,""hexalink_diagonal_steps"":1,""enumeration_ms"":79.508516}",wordfreq,v3.2,zipf-linear-v1,false
9,ADMONISHES,0.12266666666666666,84,0.26266666666666666,"{""puzzle_id"":""ADMONISHES"",""raw_legal_moves"":9830,""unique_playable_words"":5708,""unique_skeletons"":1921,""unique_tile_masks"":1867,""solver_relevant_moves"":1867,""hexalink_move_count"":2,""hexalink_participation_pct"":0.0002034587995930824,""hexalink_rows_touched"":2,""hexalink_columns_touched"":4,""hexalink_diagonal_steps"":3,""enumeration_ms"":85.783439}",wordfreq,v3.2,zipf-linear-v1,false
10,ABYSSINIAN,0.122,81,0.252,"{""puzzle_id"":""ABYSSINIAN"",""raw_legal_moves"":8722,""unique_playable_words"":4896,""unique_skeletons"":1576,""unique_tile_masks"":1582,""solver_relevant_moves"":1582,""hexalink_move_count"":1,""hexalink_participation_pct"":0.00011465260261407934,""hexalink_rows_touched"":3,""hexalink_columns_touched"":3,""hexalink_diagonal_steps"":2,""enumeration_ms"":76.803259}",wordfreq,v3.2,zipf-linear-v1,false
